Size	CRDC	DBSCAN	K-Means	RDC	Random	TDC	
200	Result(algorithm=CRDC, size=200, topics=4, minScore=0.66, tp=1264, tn=33890, fp=30, fn=4816, precision=0.9768160741885626, recall=0.20789473684210527, clusters=43, totalSimilarities=40000, calculatedSimilarities=1494, minimumSimilarities=6080, time=17)
Result(algorithm=Random, size=400, topics=4, minScore=0.66, tp=514, tn=132696, fp=2808, fn=23982, precision=0.1547260686333534, recall=0.02098301763553233, clusters=44, totalSimilarities=160000, calculatedSimilarities=3722, minimumSimilarities=24496, time=1)
Result(algorithm=TDC, size=400, topics=4, minScore=0.66, tp=16470, tn=59950, fp=75554, fn=8026, precision=0.17897504998695993, recall=0.6723546701502287, clusters=7, totalSimilarities=160000, calculatedSimilarities=92424, minimumSimilarities=24496, time=1)

500	Result(algorithm=CRDC, size=500, topics=4, minScore=0.66, tp=7830, tn=212186, fp=424, fn=29560, precision=0.9486309668039739, recall=0.20941428189355443, clusters=47, totalSimilarities=250000, calculatedSimilarities=8754, minimumSimilarities=37390, time=1)
Result(algorithm=DBSCAN, size=500, topics=4, minScore=0.66, tp=29306, tn=189428, fp=23182, fn=8084, precision=0.5583371437280902, recall=0.7837924578764376, clusters=5, totalSimilarities=250000, calculatedSimilarities=52998, minimumSimilarities=37390, time=56)
Result(algorithm=K-Means, size=500, topics=4, minScore=0.66, tp=31578, tn=181480, fp=31130, fn=5812, precision=0.5035721120112266, recall=0.8445573682802888, clusters=4, totalSimilarities=250000, calculatedSimilarities=163208, minimumSimilarities=37390, time=5)
Result(algorithm=RDC, size=500, topics=4, minScore=0.66, tp=31490, tn=181420, fp=31190, fn=5900, precision=0.5023931078493937, recall=0.8422037978069002, clusters=4, totalSimilarities=250000, calculatedSimilarities=63180, minimumSimilarities=37390, time=1)
Result(algorithm=Random, size=500, topics=4, minScore=0.66, tp=782, tn=208136, fp=4474, fn=36608, precision=0.14878234398782345, recall=0.020914683070339665, clusters=44, totalSimilarities=250000, calculatedSimilarities=5756, minimumSimilarities=37390, time=0)
Result(algorithm=TDC, size=500, topics=4, minScore=0.66, tp=24800, tn=97920, fp=114690, fn=12590, precision=0.17779052261810882, recall=0.6632789515913345, clusters=10, totalSimilarities=250000, calculatedSimilarities=139990, minimumSimilarities=37390, time=0)

600	Result(algorithm=CRDC, size=600, topics=4, minScore=0.66, tp=11054, tn=304820, fp=596, fn=43530, precision=0.9488412017167382, recall=0.20251355708632565, clusters=50, totalSimilarities=360000, calculatedSimilarities=12250, minimumSimilarities=54584, time=1)
Result(algorithm=DBSCAN, size=600, topics=4, minScore=0.66, tp=48778, tn=162866, fp=142550, fn=5806, precision=0.2549443886937615, recall=0.8936318335043236, clusters=3, totalSimilarities=360000, calculatedSimilarities=191940, minimumSimilarities=54584, time=86)
Result(algorithm=K-Means, size=600, topics=4, minScore=0.66, tp=45694, tn=261260, fp=44156, fn=8890, precision=0.5085587089593767, recall=0.8371317602227759, clusters=4, totalSimilarities=360000, calculatedSimilarities=210450, minimumSimilarities=54584, time=8)
Result(algorithm=RDC, size=600, topics=4, minScore=0.66, tp=45632, tn=261054, fp=44362, fn=8952, precision=0.507056025957286, recall=0.8359958962333285, clusters=4, totalSimilarities=360000, calculatedSimilarities=90594, minimumSimilarities=54584, time=0)
Result(algorithm=Random, size=600, topics=4, minScore=0.66, tp=1194, tn=298990, fp=6426, fn=53390, precision=0.15669291338582678, recall=0.021874541990326835, clusters=44, totalSimilarities=360000, calculatedSimilarities=8220, minimumSimilarities=54584, time=1)
Result(algorithm=TDC, size=600, topics=4, minScore=0.66, tp=36628, tn=139234, fp=166182, fn=17956, precision=0.18060253439179527, recall=0.6710391323464752, clusters=10, totalSimilarities=360000, calculatedSimilarities=203410, minimumSimilarities=54584, time=0)

700	Result(algorithm=CRDC, size=700, topics=4, minScore=0.66, tp=14788, tn=414014, fp=846, fn=60352, precision=0.9458871689906614, recall=0.19680596220388608, clusters=53, totalSimilarities=490000, calculatedSimilarities=16334, minimumSimilarities=75140, time=1)
Result(algorithm=DBSCAN, size=700, topics=4, minScore=0.66, tp=74988, tn=1946, fp=412914, fn=152, precision=0.15369479936544633, recall=0.9979771093957945, clusters=2, totalSimilarities=490000, calculatedSimilarities=488616, minimumSimilarities=75140, time=131)
Result(algorithm=K-Means, size=700, topics=4, minScore=0.66, tp=63394, tn=356228, fp=58632, fn=11746, precision=0.5195122350974383, recall=0.8436784668618579, clusters=4, totalSimilarities=490000, calculatedSimilarities=262726, minimumSimilarities=75140, time=11)
Result(algorithm=RDC, size=700, topics=4, minScore=0.66, tp=63346, tn=355722, fp=59138, fn=11794, precision=0.5171777538290716, recall=0.8430396593026351, clusters=4, totalSimilarities=490000, calculatedSimilarities=123184, minimumSimilarities=75140, time=1)
Result(algorithm=Random, size=700, topics=4, minScore=0.66, tp=1624, tn=406042, fp=8818, fn=73516, precision=0.15552576134840068, recall=0.02161298908703753, clusters=44, totalSimilarities=490000, calculatedSimilarities=11142, minimumSimilarities=75140, time=1)
Result(algorithm=TDC, size=700, topics=4, minScore=0.66, tp=51350, tn=181486, fp=233374, fn=23790, precision=0.18035009342380692, recall=0.6833910034602076, clusters=10, totalSimilarities=490000, calculatedSimilarities=285424, minimumSimilarities=75140, time=0)

800	Result(algorithm=CRDC, size=800, topics=4, minScore=0.66, tp=19436, tn=541150, fp=1190, fn=78224, precision=0.9423058275962377, recall=0.1990169977472865, clusters=53, totalSimilarities=640000, calculatedSimilarities=21426, minimumSimilarities=97660, time=1)
Result(algorithm=DBSCAN, size=800, topics=4, minScore=0.66, tp=97660, tn=800, fp=541540, fn=0, precision=0.15278473091364206, recall=1.0, clusters=1, totalSimilarities=640000, calculatedSimilarities=640016, minimumSimilarities=97660, time=173)
Result(algorithm=K-Means, size=800, topics=4, minScore=0.66, tp=82522, tn=465172, fp=77168, fn=15138, precision=0.5167637297263448, recall=0.8449928322752406, clusters=4, totalSimilarities=640000, calculatedSimilarities=320490, minimumSimilarities=97660, time=10)
Result(algorithm=RDC, size=800, topics=4, minScore=0.66, tp=82444, tn=464866, fp=77474, fn=15216, precision=0.5155392138470967, recall=0.8441941429449109, clusters=4, totalSimilarities=640000, calculatedSimilarities=160718, minimumSimilarities=97660, time=1)
Result(algorithm=Random, size=800, topics=4, minScore=0.66, tp=2136, tn=530572, fp=11768, fn=95524, precision=0.15362485615650173, recall=0.021871800122875283, clusters=44, totalSimilarities=640000, calculatedSimilarities=14704, minimumSimilarities=97660, time=0)
Result(algorithm=TDC, size=800, topics=4, minScore=0.66, tp=67420, tn=231640, fp=310700, fn=30240, precision=0.1783031841743362, recall=0.6903542903952489, clusters=10, totalSimilarities=640000, calculatedSimilarities=378920, minimumSimilarities=97660, time=0)

900	Result(algorithm=CRDC, size=900, topics=4, minScore=0.66, tp=24912, tn=685322, fp=1600, fn=98166, precision=0.9396499698249849, recall=0.20240822892799687, clusters=53, totalSimilarities=810000, calculatedSimilarities=27412, minimumSimilarities=123078, time=1)
Result(algorithm=DBSCAN, size=900, topics=4, minScore=0.66, tp=123078, tn=900, fp=686022, fn=0, precision=0.1521171672228402, recall=1.0, clusters=1, totalSimilarities=810000, calculatedSimilarities=810018, minimumSimilarities=123078, time=210)
Result(algorithm=K-Means, size=900, topics=4, minScore=0.66, tp=104080, tn=588968, fp=97954, fn=18998, precision=0.5151608145163685, recall=0.8456426006272445, clusters=4, totalSimilarities=810000, calculatedSimilarities=382934, minimumSimilarities=123078, time=13)
Result(algorithm=RDC, size=900, topics=4, minScore=0.66, tp=103716, tn=588304, fp=98618, fn=19362, precision=0.5125979815552503, recall=0.842685126505143, clusters=4, totalSimilarities=810000, calculatedSimilarities=203234, minimumSimilarities=123078, time=0)
Result(algorithm=Random, size=900, topics=4, minScore=0.66, tp=2674, tn=671970, fp=14952, fn=120404, precision=0.1517077045274027, recall=0.021726059896975902, clusters=44, totalSimilarities=810000, calculatedSimilarities=18526, minimumSimilarities=123078, time=1)
Result(algorithm=TDC, size=900, topics=4, minScore=0.66, tp=86132, tn=281738, fp=405184, fn=36946, precision=0.17530876258863948, recall=0.6998163766067047, clusters=11, totalSimilarities=810000, calculatedSimilarities=492216, minimumSimilarities=123078, time=1)

1000	Result(algorithm=CRDC, size=1000, topics=4, minScore=0.66, tp=30430, tn=845382, fp=2026, fn=122162, precision=0.9375770273601183, recall=0.19942067736185384, clusters=55, totalSimilarities=1000000, calculatedSimilarities=33456, minimumSimilarities=152592, time=1)
Result(algorithm=DBSCAN, size=1000, topics=4, minScore=0.66, tp=152592, tn=1000, fp=846408, fn=0, precision=0.15274474474474475, recall=1.0, clusters=1, totalSimilarities=1000000, calculatedSimilarities=1000020, minimumSimilarities=152592, time=277)
Result(algorithm=K-Means, size=1000, topics=4, minScore=0.66, tp=128304, tn=725938, fp=121470, fn=24288, precision=0.5136803670518149, recall=0.8408304498269896, clusters=4, totalSimilarities=1000000, calculatedSimilarities=450774, minimumSimilarities=152592, time=11)
Result(algorithm=RDC, size=1000, topics=4, minScore=0.66, tp=127990, tn=725076, fp=122332, fn=24602, precision=0.5113014437404623, recall=0.8387726748453392, clusters=4, totalSimilarities=1000000, calculatedSimilarities=251322, minimumSimilarities=152592, time=1)
Result(algorithm=Random, size=1000, topics=4, minScore=0.66, tp=3398, tn=829034, fp=18374, fn=149194, precision=0.15607201910711005, recall=0.02226853308168187, clusters=44, totalSimilarities=1000000, calculatedSimilarities=22772, minimumSimilarities=152592, time=0)
Result(algorithm=TDC, size=1000, topics=4, minScore=0.66, tp=108362, tn=339400, fp=508008, fn=44230, precision=0.17580673945844216, recall=0.710142078221663, clusters=11, totalSimilarities=1000000, calculatedSimilarities=617370, minimumSimilarities=152592, time=0)
