Size	CRDC	DBSCAN	K-Means	RDC	Random	TDC	
200	Result(algorithm=CRDC, size=200, topics=44, minScore=0.34, tp=0, tn=24514, fp=0, fn=15486, precision=0.0, recall=0.0, clusters=200, totalSimilarities=40000, calculatedSimilarities=200, minimumSimilarities=15486, time=26)
Result(algorithm=Random, size=400, topics=44, minScore=0.34, tp=1354, tn=94556, fp=1986, fn=62104, precision=0.4053892215568862, recall=0.02133694727221154, clusters=44, totalSimilarities=160000, calculatedSimilarities=3740, minimumSimilarities=63458, time=0)
Result(algorithm=TDC, size=400, topics=44, minScore=0.34, tp=31970, tn=53280, fp=43262, fn=31488, precision=0.4249521480221182, recall=0.5037977875130007, clusters=24, totalSimilarities=160000, calculatedSimilarities=75632, minimumSimilarities=63458, time=1)

500	Result(algorithm=CRDC, size=500, topics=44, minScore=0.34, tp=0, tn=152268, fp=0, fn=97732, precision=0.0, recall=0.0, clusters=500, totalSimilarities=250000, calculatedSimilarities=500, minimumSimilarities=97732, time=4)
Result(algorithm=DBSCAN, size=500, topics=44, minScore=0.34, tp=97732, tn=500, fp=151768, fn=0, precision=0.3917114228456914, recall=1.0, clusters=1, totalSimilarities=250000, calculatedSimilarities=250010, minimumSimilarities=97732, time=109)
Result(algorithm=K-Means, size=500, topics=44, minScore=0.34, tp=4740, tn=151038, fp=1230, fn=92992, precision=0.7939698492462312, recall=0.048499979535873615, clusters=44, totalSimilarities=250000, calculatedSimilarities=1106470, minimumSimilarities=97732, time=100)
Result(algorithm=RDC, size=500, topics=44, minScore=0.34, tp=3872, tn=150470, fp=1798, fn=93860, precision=0.6828924162257496, recall=0.03961854868415667, clusters=44, totalSimilarities=250000, calculatedSimilarities=6170, minimumSimilarities=97732, time=3)
Result(algorithm=Random, size=500, topics=44, minScore=0.34, tp=2204, tn=149214, fp=3054, fn=95528, precision=0.41917078737162417, recall=0.02255146727786191, clusters=44, totalSimilarities=250000, calculatedSimilarities=5758, minimumSimilarities=97732, time=0)
Result(algorithm=TDC, size=500, topics=44, minScore=0.34, tp=48048, tn=84698, fp=67570, fn=49684, precision=0.4155754294314034, recall=0.49163017230794415, clusters=29, totalSimilarities=250000, calculatedSimilarities=116118, minimumSimilarities=97732, time=0)

600	Result(algorithm=CRDC, size=600, topics=44, minScore=0.34, tp=0, tn=216458, fp=0, fn=143542, precision=0.0, recall=0.0, clusters=600, totalSimilarities=360000, calculatedSimilarities=600, minimumSimilarities=143542, time=5)
Result(algorithm=DBSCAN, size=600, topics=44, minScore=0.34, tp=143542, tn=600, fp=215858, fn=0, precision=0.3993934335002782, recall=1.0, clusters=1, totalSimilarities=360000, calculatedSimilarities=360012, minimumSimilarities=143542, time=156)
Result(algorithm=K-Means, size=600, topics=44, minScore=0.34, tp=6846, tn=214730, fp=1728, fn=136696, precision=0.7984604618614416, recall=0.04769335804154882, clusters=44, totalSimilarities=360000, calculatedSimilarities=1329174, minimumSimilarities=143542, time=120)
Result(algorithm=RDC, size=600, topics=44, minScore=0.34, tp=5710, tn=213976, fp=2482, fn=137832, precision=0.697021484375, recall=0.03977929804517145, clusters=44, totalSimilarities=360000, calculatedSimilarities=8792, minimumSimilarities=143542, time=3)
Result(algorithm=Random, size=600, topics=44, minScore=0.34, tp=3016, tn=211842, fp=4616, fn=140526, precision=0.3951781970649895, recall=0.02101127196221315, clusters=44, totalSimilarities=360000, calculatedSimilarities=8232, minimumSimilarities=143542, time=0)
Result(algorithm=TDC, size=600, topics=44, minScore=0.34, tp=67806, tn=123192, fp=93266, fn=75736, precision=0.4209670209595709, recall=0.47237742263588356, clusters=29, totalSimilarities=360000, calculatedSimilarities=161672, minimumSimilarities=143542, time=0)

700	Result(algorithm=CRDC, size=700, topics=44, minScore=0.34, tp=0, tn=292056, fp=0, fn=197944, precision=0.0, recall=0.0, clusters=700, totalSimilarities=490000, calculatedSimilarities=700, minimumSimilarities=197944, time=5)
Result(algorithm=DBSCAN, size=700, topics=44, minScore=0.34, tp=197944, tn=700, fp=291356, fn=0, precision=0.40454526875127733, recall=1.0, clusters=1, totalSimilarities=490000, calculatedSimilarities=490014, minimumSimilarities=197944, time=219)
Result(algorithm=K-Means, size=700, topics=44, minScore=0.34, tp=9096, tn=289680, fp=2376, fn=188848, precision=0.7928870292887029, recall=0.045952390575112155, clusters=44, totalSimilarities=490000, calculatedSimilarities=1552172, minimumSimilarities=197944, time=178)
Result(algorithm=RDC, size=700, topics=44, minScore=0.34, tp=7802, tn=288740, fp=3316, fn=190142, precision=0.7017449181507466, recall=0.039415188134017703, clusters=44, totalSimilarities=490000, calculatedSimilarities=11818, minimumSimilarities=197944, time=3)
Result(algorithm=Random, size=700, topics=44, minScore=0.34, tp=4162, tn=285776, fp=6280, fn=193782, precision=0.39858264700248996, recall=0.02102614880976438, clusters=44, totalSimilarities=490000, calculatedSimilarities=11142, minimumSimilarities=197944, time=0)
Result(algorithm=TDC, size=700, topics=44, minScore=0.34, tp=95384, tn=164726, fp=127330, fn=102560, precision=0.42828021588225257, recall=0.48187366123752173, clusters=31, totalSimilarities=490000, calculatedSimilarities=223414, minimumSimilarities=197944, time=0)

800	Result(algorithm=CRDC, size=800, topics=44, minScore=0.34, tp=0, tn=381548, fp=0, fn=258452, precision=0.0, recall=0.0, clusters=800, totalSimilarities=640000, calculatedSimilarities=800, minimumSimilarities=258452, time=5)
Result(algorithm=DBSCAN, size=800, topics=44, minScore=0.34, tp=258452, tn=800, fp=380748, fn=0, precision=0.4043366708385482, recall=1.0, clusters=1, totalSimilarities=640000, calculatedSimilarities=640016, minimumSimilarities=258452, time=267)
Result(algorithm=K-Means, size=800, topics=44, minScore=0.34, tp=11906, tn=378610, fp=2938, fn=246546, precision=0.8020749124225276, recall=0.04606658102858558, clusters=44, totalSimilarities=640000, calculatedSimilarities=1775644, minimumSimilarities=258452, time=154)
Result(algorithm=RDC, size=800, topics=44, minScore=0.34, tp=10318, tn=377254, fp=4294, fn=248134, precision=0.7061319463454695, recall=0.03992230665655518, clusters=44, totalSimilarities=640000, calculatedSimilarities=15412, minimumSimilarities=258452, time=7)
Result(algorithm=Random, size=800, topics=44, minScore=0.34, tp=5704, tn=373328, fp=8220, fn=252748, precision=0.4096523987359954, recall=0.022069862102053767, clusters=44, totalSimilarities=640000, calculatedSimilarities=14724, minimumSimilarities=258452, time=1)
Result(algorithm=TDC, size=800, topics=44, minScore=0.34, tp=123568, tn=216032, fp=165516, fn=134884, precision=0.4274466936945663, recall=0.4781081206568338, clusters=32, totalSimilarities=640000, calculatedSimilarities=289884, minimumSimilarities=258452, time=1)

900	Result(algorithm=CRDC, size=900, topics=44, minScore=0.34, tp=0, tn=483792, fp=0, fn=326208, precision=0.0, recall=0.0, clusters=900, totalSimilarities=810000, calculatedSimilarities=900, minimumSimilarities=326208, time=5)
Result(algorithm=DBSCAN, size=900, topics=44, minScore=0.34, tp=326208, tn=900, fp=482892, fn=0, precision=0.4031738969225065, recall=1.0, clusters=1, totalSimilarities=810000, calculatedSimilarities=810018, minimumSimilarities=326208, time=350)
Result(algorithm=K-Means, size=900, topics=44, minScore=0.34, tp=14976, tn=479916, fp=3876, fn=311232, precision=0.7943984723106302, recall=0.04590935844614479, clusters=44, totalSimilarities=810000, calculatedSimilarities=1999752, minimumSimilarities=326208, time=198)
Result(algorithm=RDC, size=900, topics=44, minScore=0.34, tp=12944, tn=478298, fp=5494, fn=313264, precision=0.7020284195682829, recall=0.039680204041593094, clusters=44, totalSimilarities=810000, calculatedSimilarities=19338, minimumSimilarities=326208, time=4)
Result(algorithm=Random, size=900, topics=44, minScore=0.34, tp=7004, tn=473216, fp=10576, fn=319204, precision=0.39840728100113765, recall=0.021470963311752012, clusters=44, totalSimilarities=810000, calculatedSimilarities=18480, minimumSimilarities=326208, time=1)
Result(algorithm=TDC, size=900, topics=44, minScore=0.34, tp=153072, tn=275874, fp=207918, fn=173136, precision=0.42403390675641983, recall=0.4692466156562684, clusters=33, totalSimilarities=810000, calculatedSimilarities=361890, minimumSimilarities=326208, time=1)

1000	Result(algorithm=CRDC, size=1000, topics=44, minScore=0.34, tp=0, tn=596806, fp=0, fn=403194, precision=0.0, recall=0.0, clusters=1000, totalSimilarities=1000000, calculatedSimilarities=1000, minimumSimilarities=403194, time=7)
Result(algorithm=DBSCAN, size=1000, topics=44, minScore=0.34, tp=403194, tn=1000, fp=595806, fn=0, precision=0.4035975975975976, recall=1.0, clusters=1, totalSimilarities=1000000, calculatedSimilarities=1000020, minimumSimilarities=403194, time=390)
Result(algorithm=K-Means, size=1000, topics=44, minScore=0.34, tp=18088, tn=592236, fp=4570, fn=385106, precision=0.7983052343543119, recall=0.04486177869710363, clusters=44, totalSimilarities=1000000, calculatedSimilarities=2223658, minimumSimilarities=403194, time=298)
Result(algorithm=RDC, size=1000, topics=44, minScore=0.34, tp=15920, tn=590052, fp=6754, fn=387274, precision=0.7021257828349652, recall=0.03948471455428404, clusters=44, totalSimilarities=1000000, calculatedSimilarities=23674, minimumSimilarities=403194, time=5)
Result(algorithm=Random, size=1000, topics=44, minScore=0.34, tp=8760, tn=583798, fp=13008, fn=394434, precision=0.402425578831312, recall=0.021726513787407552, clusters=44, totalSimilarities=1000000, calculatedSimilarities=22768, minimumSimilarities=403194, time=0)
Result(algorithm=TDC, size=1000, topics=44, minScore=0.34, tp=191766, tn=337738, fp=259068, fn=211428, precision=0.42535833588416133, recall=0.4756171966844745, clusters=33, totalSimilarities=1000000, calculatedSimilarities=451834, minimumSimilarities=403194, time=0)
